i,graph_type,g_n,g_p_er,g_m_ba,g_k_ws,g_p_ws,graph_object,grau_medio,grau_var,path_length_medio,path_length_var,clustering_medio,clustering_var,betweenness_medio,betweenness_var,eigenvector_medio,eigenvector_var
1,ER,500,0.2,,,,Graph with 500 nodes and 24990 edges,99.96,81.1224,1.799679358717435,0.16019228195870697,0.20052552559928682,3.219610802826323e-05,0.0016057818448141257,8.511913408036214e-08,0.04453826854779849,1.6342634764183616e-05
2,BA,500,,3.0,,,Graph with 500 nodes and 1491 edges,5.964,49.086704000000005,3.183142284569138,0.5167675208372656,0.06126840667378505,0.01383371089117565,0.004383819848532407,0.0002770798239420436,0.02884150191144648,0.001168167767492029
3,WS,500,,,6.0,0.2,Graph with 500 nodes and 1500 edges,6.0,1.2,4.458324649298597,1.1839264917972219,0.3015253968253968,0.027675925873015875,0.006944427006623689,2.4263444322068617e-05,0.042328865754070265,0.00020826712397389733
4,ER,500,0.2,,,,Graph with 500 nodes and 24901 edges,99.604,78.61118400000001,1.8003927855711424,0.1597641743768098,0.1988547268033966,2.9082511959797347e-05,0.0016072144288577148,8.264865461179217e-08,0.04454215114602117,1.599677128500516e-05
5,BA,500,,3.0,,,Graph with 500 nodes and 1491 edges,5.964,39.65870400000001,3.2272865731462925,0.5164530381163129,0.05440768374764628,0.013531112369397661,0.004472462998285728,0.00017415042582981285,0.030387574868368183,0.001076595293619318
6,WS,500,,,6.0,0.2,Graph with 500 nodes and 1500 edges,6.0,1.092,4.543262525050101,1.237434967152742,0.3237968253968254,0.025366653907785336,0.007114984990060442,2.8781650338849997e-05,0.042747302088959174,0.00017266816411526614
7,ER,500,0.2,,,,Graph with 500 nodes and 25010 edges,100.04,74.33040000000001,1.7995190380761523,0.1602883458299364,0.2002426850461408,2.7312672742027178e-05,0.0016054599158155662,7.896191196565471e-08,0.04455381779566786,1.49573198304301e-05
8,BA,500,,3.0,,,Graph with 500 nodes and 1491 edges,5.964,36.482704,3.2655791583166334,0.5380047848161252,0.04140382492244912,0.008624541381354333,0.004549355739591633,0.00015859099247679854,0.03116129705062304,0.0010289735661228316
9,WS,500,,,6.0,0.2,Graph with 500 nodes and 1500 edges,6.0,0.928,4.682709418837676,1.3612425187690012,0.3403825396825397,0.021311889692617787,0.00739499883300738,2.8270641006911913e-05,0.042471413869113066,0.00019617900395851073
10,ER,500,0.2,,,,Graph with 500 nodes and 24906 edges,99.624,85.98662399999999,1.8003527054108217,0.15978825235240016,0.19988869210234853,3.159436131541406e-05,0.0016071339466080749,9.244006473591715e-08,0.04452577348890156,1.7455495215029917e-05
11,BA,500,,3.0,,,Graph with 500 nodes and 1491 edges,5.964,42.466704,3.2190220440881765,0.5281656167485272,0.05399213024433647,0.014811985798705149,0.004455867558409993,0.00018039278959373326,0.03038772728087464,0.0010765860307031876
12,WS,500,,,6.0,0.2,Graph with 500 nodes and 1500 edges,6.0,1.012,4.582316633266533,1.2749514267974829,0.31989999999999996,0.02447000284958428,0.007193406894109505,2.434369686274736e-05,0.04237648664436699,0.00020423337967978596
13,ER,500,0.2,,,,Graph with 500 nodes and 24780 edges,99.12,71.9136,1.8013627254509017,0.15918050770880438,0.1982388979660911,3.444123235597902e-05,0.0016091620992989993,7.758702008239509e-08,0.044555407179052285,1.481569110885653e-05
